"","ele","dist_km","dist_total","speed","times"
"3926",26,0.00210809698530765,20.9211261339763,0.379457457355377,"12:25:34"
"3927",25.9,0.00282133578749018,20.9239474697638,1.01568088349646,"12:25:36"
"3928",25.7,0.0031381120947832,20.9270855818586,0.564860177060975,"12:25:37"
"3929",25.7,0.0042178463249085,20.9313034281835,1.51842467696706,"12:25:39"
"3930",25.6,0.00213261489220095,20.9334360430757,0.383870680596171,"12:25:40"
"3931",25.6,0.00284804837396619,20.9362840914497,0.512648707313914,"12:25:42"
"3932",25.6,0.00180073132022797,20.9380848227699,0.64826327528207,"12:25:44"
"3933",25.6,0.00133282408406374,20.939417646854,0.239908335131474,"12:25:45"
"3934",25.6,0.00148292970181379,20.9409005765558,0.533854692652964,"12:25:47"
"3935",25.6,0.00100075591044079,20.9419013324662,0.180136063879343,"12:25:48"
"3936",25.6,0.00136811288177099,20.943269445348,0.492520637437555,"12:25:50"
"3937",25.5,0.000570884596835307,20.9438403299448,0.102759227430355,"12:25:51"
"3938",25.5,0.000518619852920482,20.9443589497977,0.186703147051373,"12:25:53"
"3939",25.5,0.000464058653640403,20.9448230084514,0.167061115310545,"12:25:54"
"3940",25.5,6.61831293646213e-05,20.9448891915807,0.0119129632856318,"12:25:55"
"3941",25.5,0.000469876912163483,20.9453590684929,0.169155688378854,"12:25:57"
"3942",25.5,0.000340087283012844,20.9456991557759,0.0612157109423119,"12:25:58"
"3943",25.5,0.000905805279769805,20.9466049610557,0.163044950358565,"12:26:00"
"3944",25.5,0.00118072958567708,20.9477856906414,0.212531325421874,"12:26:02"
"3945",25.5,0.00150578566292176,20.9492914763043,0.271041419325917,"12:26:04"
"3946",25.5,0.00323501815643696,20.9525264944607,1.16460653631731,"12:26:06"
"3947",25.5,0.00236323082142986,20.9548897252822,0.425381547857374,"12:26:07"
"3948",25.5,0.00535837759633666,20.9602481028785,1.9290159346812,"12:26:09"
"3949",25.5,0.00374869326705689,20.9639967961456,1.34952957614048,"12:26:10"
"3950",25.5,0.00123756556831552,20.9652343617139,0.222761802296794,"12:26:11"
"3951",25.5,0.00826681154163996,20.9735011732555,2.97605215499039,"12:26:13"
"3952",25.6,0.00527902971385994,20.9787802029694,1.90045069698958,"12:26:14"
"3953",25.6,0.00448042191213762,20.9832606248815,1.61295188836954,"12:26:15"
"3954",25.7,0.00158186554255489,20.9848424904241,0.28473579765988,"12:26:16"
"3955",25.7,0.00765718694496611,20.992499677369,1.3782936500939,"12:26:18"
"3956",25.8,0.00619592332640846,20.9986956006954,2.23053239750705,"12:26:20"
"3957",25.8,0.00319929317173603,21.0018948938672,1.15174554182497,"12:26:21"
"3958",25.9,0.00719446911653893,21.0090893629837,2.59000888195401,"12:26:22"
"3959",26,0.00208687483659844,21.0111762378203,0.375637470587719,"12:26:23"
"3960",26,0.004668094369359,21.0158443321897,1.68051397296924,"12:26:25"
"3961",26.1,0.00247125231271949,21.0183155845024,0.444825416289508,"12:26:26"
"3962",26.1,0.00337179692226398,21.0216873814247,1.21384689201503,"12:26:28"
"3963",26.1,0.00563682192331665,21.027324203348,2.02925589239399,"12:26:29"
"3964",26.2,0.004729587044304,21.0320537903923,0.85132566797472,"12:26:30"
"3965",26.3,0.00745850540246664,21.0395122957947,1.34253097244399,"12:26:32"
"3966",26.4,0.0076219454100331,21.0471342412048,2.74390034761192,"12:26:34"
"3967",26.5,0.00545964314164234,21.0525938843464,0.982735765495621,"12:26:35"
"3968",26.6,0.0100170315374094,21.0626109158838,3.60613135346739,"12:26:37"
"3969",26.8,0.0038741422826398,21.0664850581665,0.697345610875164,"12:26:38"
"3970",26.8,0.0125864184273911,21.0790714765939,4.53111063386079,"12:26:40"
"3971",27,0.00699064655143853,21.0860621231453,2.51663275851787,"12:26:41"
"3972",27.1,0.00263949960389412,21.0887016227492,0.475109928700941,"12:26:42"
"3973",27.1,0.00332624413830203,21.0920278668875,1.19744788978873,"12:26:44"
"3974",27.2,0.00140593772070299,21.0934338046082,0.506137579453078,"12:26:45"
"3975",27.3,0.00126711768171111,21.0947009222899,0.456162365415999,"12:26:46"
"3976",27.3,0.000464057897023853,21.0951649801869,0.0835304214642935,"12:26:47"
"3977",27.3,0.00210501829393076,21.0972699984809,0.378903292907537,"12:26:49"
"3978",27.4,0.00817879432753555,21.1054487928084,1.4721829789564,"12:26:51"
"3979",27.4,0.0117139603789705,21.1171627531874,4.21702573642939,"12:26:53"
"3980",27.4,0.00683219219655728,21.1239949453839,1.22979459538031,"12:26:54"
"3981",27.4,0.0108931701936092,21.1348881155775,3.92154126969932,"12:26:56"
"3982",27.4,0.00793832561171409,21.1428264411892,2.85779722021707,"12:26:57"
"3983",27.4,0.00577736568705387,21.1486038068763,1.0399258236697,"12:26:58"
"3984",27.4,0.0108910705576837,21.159494877434,1.96039270038306,"12:27:00"
"3985",27.4,0.00764435059612501,21.1671392280301,2.751966214605,"12:27:02"
"3986",27.5,0.00993113720493157,21.177070365235,3.57520939377536,"12:27:03"
"3987",27.5,0.00594669286016044,21.1830170580952,1.07040471482888,"12:27:04"
"3988",27.6,0.00991943345685608,21.1929364915521,1.78549802223409,"12:27:06"
"3989",27.7,0.00315268725205841,21.1960891788041,1.13496741074103,"12:27:08"
"3990",27.7,0.0016244758508288,21.1977136546549,0.58481130629837,"12:27:09"
"3991",27.7,0.00711140648761563,21.2048250611426,2.56010633554163,"12:27:10"
"3992",27.8,0.00835437498463588,21.2131794361272,3.00757499446892,"12:27:11"
"3993",27.9,0.00731420447286296,21.2204936406001,2.63311361023066,"12:27:12"
"3994",28,0.00493804984636997,21.2254316904464,0.888848972346595,"12:27:13"
"3995",28,0.00827899219815026,21.2337106826446,1.49021859566705,"12:27:15"
"3996",28.1,0.00987458422587896,21.2435852668705,3.55485032131643,"12:27:17"
"3997",28.3,0.00485907467372325,21.2484443415442,0.874633441270185,"12:27:18"
"3998",28.3,0.00758006452339446,21.2560244060676,2.72882322842201,"12:27:20"
"3999",28.4,0.00553616480772568,21.2615605708753,1.99301933078125,"12:27:21"
"4000",28.5,0.00570856359864834,21.2672691344739,1.0275414477567,"12:27:22"
"4001",28.6,0.00834877691275088,21.2756179113867,3.00555968859032,"12:27:24"
"4002",28.8,0.0042222295083148,21.279840140895,1.52000262299333,"12:27:25"
"4003",28.8,0.00306249081972974,21.2829026317147,0.551248347551354,"12:27:26"
"4004",28.9,0.00537898053868459,21.2882816122534,1.93643299392645,"12:27:28"
"4005",29,0.00507895677743914,21.2933605690309,1.82842443987809,"12:27:29"
"4006",29.1,0.00521305146200097,21.2985736204929,0.938349263160174,"12:27:30"
"4007",29.2,0.0091181256305157,21.3076917461234,1.64126261349283,"12:27:32"
"4008",29.3,0.00691217080134904,21.3146039169247,2.48838148848565,"12:27:34"
"4009",29.4,0.00837897103079159,21.3229828879555,3.01642957108497,"12:27:35"
"4010",29.6,0.00465226736468349,21.3276351553202,0.837408125643028,"12:27:36"
"4011",29.6,0.00803625960813775,21.3356714149283,2.89305345892959,"12:27:38"
"4012",29.7,0.00404283114419669,21.3397142460725,0.727709605955404,"12:27:39"
"4013",29.8,0.0074516645739036,21.3471659106464,1.34129962330265,"12:27:41"
"4014",29.9,0.00662140083832175,21.3537873114848,1.19185215089791,"12:27:43"
"4015",29.9,0.00478561401788168,21.3585729255026,1.7228210464374,"12:27:45"
"4016",29.9,0.00528577818203458,21.3638587036847,0.951440072766224,"12:27:46"
"4017",29.9,0.00733938831097582,21.3711980919957,1.32108989597565,"12:27:48"
"4018",29.9,0.0101374908372613,21.3813355828329,3.64949670141408,"12:27:50"
"4019",29.8,0.00650080097382026,21.3878363838067,2.34028835057529,"12:27:51"
"4020",29.7,0.00570876996195936,21.3935451537687,1.02757859315269,"12:27:52"
"4021",29.7,0.00710258440963513,21.4006477381783,2.55693038746865,"12:27:54"
"4022",29.6,0.00721056711387813,21.4078583052922,2.59580416099613,"12:27:55"
"4023",29.5,0.00579902653682863,21.413657331829,1.04382477662915,"12:27:56"
"4024",29.5,0.0108864255694041,21.4245437573984,3.91911320498549,"12:27:58"
"4025",29.3,0.0052405506780822,21.4297843080765,0.943299122054796,"12:27:59"
"4026",29.2,0.00541674491000688,21.4352010529865,1.95002816760248,"12:28:01"
"4027",29.2,0.00853530087230831,21.4437363538588,3.07270831403099,"12:28:02"
"4028",29,0.00566005777542514,21.4493964116343,2.03762079915305,"12:28:03"
"4029",28.9,0.00612289740789323,21.4555193090422,1.10212153342078,"12:28:04"
"4030",28.8,0.0125618718119152,21.4680811808541,4.52227385228948,"12:28:06"
"4031",28.6,0.00600051852229722,21.4740816993764,2.160186668027,"12:28:07"
"4032",28.5,0.00551848870247925,21.4796001880788,0.993327966446265,"12:28:08"
"4033",28.4,0.008808568279588,21.4884087563584,3.17108458065168,"12:28:10"
"4034",28.2,0.00352942223372947,21.4919381785922,0.635296002071305,"12:28:11"
"4035",28.1,0.0082228772789937,21.5001610558712,1.48011791021887,"12:28:13"
"4036",28,0.00551693735648588,21.5056779932276,1.98609744833492,"12:28:15"
"4037",27.9,0.00400383836737776,21.509681831595,1.44138181225599,"12:28:16"
"4038",27.8,0.00361094955342655,21.5132927811484,1.29994183923356,"12:28:17"
"4039",27.7,0.00392400233779028,21.5172167834862,0.706320420802251,"12:28:18"
"4040",27.6,0.00296274689900394,21.5201795303852,1.06658888364142,"12:28:20"
"4041",27.6,0.00139217021469833,21.5215717005999,0.250590638645699,"12:28:21"
"4042",27.6,0.000298119561321589,21.5218698201613,0.107323042075772,"12:28:23"
"4043",27.6,0.000287124653412732,21.5221569448147,0.0516824376142917,"12:28:24"
"4044",27.6,0.000398687199074078,21.5225556320137,0.143527391666668,"12:28:26"
"4045",27.6,0.000172868166299867,21.52272850018,0.0622325398679522,"12:28:27"
"4046",27.5,0.000132359558906441,21.5228608597389,0.0238247206031594,"12:28:28"
"4047",27.5,0.0001985393383259,21.5230593990773,0.0714741617973242,"12:28:30"
"4048",27.5,0.000111195101685705,21.523170594179,0.0400302366068537,"12:28:31"
"4049",27.5,0.000132359562062306,21.523302953741,0.023824721171215,"12:28:32"
